sheet,codigo,imagen_indice_en_hoja,archivo,sha256,width,height
E16,R16,1,3d94dfda8fa24196.png,3d94dfda8fa24196f165ace3313a02a79a161555d4c4452954d9195829cd9b79,749,698
E17,R17,1,ab425f0bc057b9e3.png,ab425f0bc057b9e394d36795ef4f9ab76338cd7c31b5d76ffc77f8cbcfb7021b,980,784
E18,R18,1,8dd1d84a03bc2e45.png,8dd1d84a03bc2e4561273f776114999074873b82d627aa09a3b8c8b56c181c03,1056,853
E19,R19,1,486d6d62031d5911.png,486d6d62031d591132a11522ef3edf41893a6f30cccb12b298251bcc0a48709a,881,745
E20,RP1,1,99850454e31dc54e.png,99850454e31dc54e47e02115910903ae582ce6e3bad38020c71c9462d9f4ff71,1225,604
E21,RP2,1,66121859800aea5b.png,66121859800aea5b806f594daac03a06d5cbc52ea77668c40c19ef1bdba0d843,1010,859
E21,RP2,2,c7a3ebdf4ae55cd4.png,c7a3ebdf4ae55cd4c58600bcda94bf870dcd0ca09fcc9353898b2af56d3572b4,15,28
E22,RP3,1,0f9792a59b43533b.png,0f9792a59b43533b5be328eef1f04e92297aeb2c5047f866f29437f22708737a,1242,621
E23,RP4,1,74f6e1772478c04a.png,74f6e1772478c04aa9fd5707974c23cfd04fa3b5205fe364cd1369fe0580841c,1054,808
E24,RP5,1,5b13b14e61d6ace2.png,5b13b14e61d6ace2a20ecc95e8aa21214243f286a2d6adc60ac610b14161d562,1153,756
E24,RP5,2,c7a3ebdf4ae55cd4.png,c7a3ebdf4ae55cd4c58600bcda94bf870dcd0ca09fcc9353898b2af56d3572b4,15,28
E25,RP6,1,26e96c0c9f2e1414.png,26e96c0c9f2e14149f0bb3124602a7f59b47855bc48ff53c7c8b32b38558175e,946,832
E26,RP7,1,b350fa368dc475ee.png,b350fa368dc475ee05ab719077204f13fad8d1af30a8447e7f39b85a831642a8,1153,848
E27,RP8,1,7e7289b92c253f79.png,7e7289b92c253f7963e70d0a1e08e4bb031f332c654d904c0803a688655611ca,765,621
E28,RP9,1,6c3942bb3e0008e9.png,6c3942bb3e0008e9169b4124519fc9ee34bdf96ee0effea919226f4b17132054,1005,728
E29,RP10,1,cf2e630e01147bb9.png,cf2e630e01147bb9e4473a7d2e621c636732ed5e08a4c17abbbefd60b8f5bb2f,1104,817
E30,RP11,1,12774feda5fa35a7.png,12774feda5fa35a74cf6d13d1730df7ed3cec18c0e5d7dbdba4acc4ea04fe77e,1346,734
E31,RP12,1,eb826def02526fea.png,eb826def02526feaac2d3b7b664442fe73eef4c4f54f6bd22a59d6da41a890ed,1224,822
E32,RP13,1,ecfa5e3e9c7fd657.png,ecfa5e3e9c7fd657f6af19d99c6bbcc8eb5df0f52febf00237ede6489239e7a1,1304,775
